config,config_name,direction,chon_tren,bao_tren,tau,param,tune_cov,tune_prec,n_gold_gt,n_keep,keep_pct,prec_both,ci_lo,ci_hi,prec_label,prec_img,err_img_sai_khe,err_img_khe_chua_xd,err_chu,err_total,ha_oan,ha_dung,err_pool,n_correct
f,chính sách v3 đầy đủ,T,TK,L16,0.9925,p_wood≥0.97807 ∧ viss≥0.09307,0.6003,0.99893,11585,6792,58.63,0.99146,0.98805,0.9943,0.99234,0.99691,0,21,37,58,4433,360,418,11167
a,pipeline hiện tại (không kiểm),T,TK,L16,0.995,,1.0,,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
b,chỉ hình học/trượt,T,TK,L16,0.995,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9476,0.98864,11585,10919,94.25,0.98132,0.97728,0.98494,0.98287,0.99579,1,45,158,204,452,214,418,11167
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),T,TK,L16,0.995,p_wood≥0.98725,0.5163,0.99459,11585,2986,25.77,0.99096,0.98566,0.99536,0.9933,0.99431,5,12,10,27,8208,391,418,11167
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",T,TK,L16,0.995,p_wood≥0.98744 ∧ viss≥0.09307,0.4996,0.99527,11585,2848,24.58,0.99298,0.9883,0.9968,0.99508,0.99544,4,9,7,20,8339,398,418,11167
d,hình học + ảnh,T,TK,L16,0.995,p_wood≥0.98744 ∧ viss≥0.09307,0.4828,0.99511,11585,2736,23.62,0.99488,0.99137,0.99772,0.99525,0.99744,0,7,7,14,8445,404,418,11167
e,hình học + ảnh + dị bản (text_attested),T,TK,L16,0.995,p_wood≥0.98744 ∧ viss≥0.09307,0.3879,0.99945,11585,2736,23.62,0.99488,0.99137,0.99772,0.99525,0.99744,0,7,7,14,8445,404,418,11167
f,chính sách v3 đầy đủ,T,TK,L16,0.995,p_wood≥0.98744 ∧ viss≥0.09307,0.3879,0.99945,11585,2736,23.62,0.99488,0.99137,0.99772,0.99525,0.99744,0,7,7,14,8445,404,418,11167
a,pipeline hiện tại (không kiểm),T,TK,L16,0.9975,,1.0,,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
b,chỉ hình học/trượt,T,TK,L16,0.9975,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9476,0.98864,11585,10919,94.25,0.98132,0.97728,0.98494,0.98287,0.99579,1,45,158,204,452,214,418,11167
